day_of_week,home_win_rate,n_games
Monday,0.5418994413407822,179
Tuesday,0.524,250
Wednesday,0.5137254901960784,255
Thursday,0.48484848484848486,132
Friday,0.5510204081632653,245
Saturday,0.5521235521235521,259
Sunday,0.531496062992126,254
