game_id,game_date,status,away_name,home_name,bet_side,bet_team,bet_odds,bet_odds_fmt,p_home_win,bet_edge,edge_home,edge_away,home_odds,away_odds,n_books,away_probable_pitcher,home_probable_pitcher
822807,2026-06-07,Pre-Game,Baltimore Orioles,Toronto Blue Jays,,,,,0.5093754185735206,,-0.04700166090891922,0.04700166090891933,-140.0,115.0,6.0,Shane Baz,Kevin Gausman
822890,2026-06-07,Scheduled,Cleveland Guardians,Texas Rangers,,,,,0.5435797934215555,,-0.02202304345787709,0.022023043457877145,-145.0,120.0,6.0,Joey Cantillo,Jacob deGrom
823047,2026-06-07,Pre-Game,Cincinnati Reds,St. Louis Cardinals,,,,,0.5858590721044479,,0.01237698671504639,-0.012376986715046445,-148.5,125.0,6.0,Rhett Lowder,Michael McGreevy
823291,2026-06-07,Scheduled,New York Mets,San Diego Padres,,,,,0.4912326366169876,,-0.008767363383012428,0.008767363383012428,-110.0,-110.0,5.0,Huascar Brazobán,Randy Vásquez
823453,2026-06-07,Pre-Game,Chicago White Sox,Philadelphia Phillies,away,Chicago White Sox,141.5,+142,0.5194287066837175,0.08512078811919205,-0.0851207881191921,0.08512078811919205,-172.5,141.5,6.0,Tyler Gilbert,Aaron Nola
823537,2026-06-07,Pre-Game,Boston Red Sox,New York Yankees,,,,,0.6054862786536515,,0.022335418192684475,-0.022335418192684364,-157.0,129.0,6.0,Ranger Suarez,Cam Schlittler
823696,2026-06-07,Scheduled,Kansas City Royals,Minnesota Twins,home,Minnesota Twins,-109.5,-110,0.5759572448519114,0.07810692723633911,0.07810692723633911,-0.07810692723633905,-109.5,-111.5,6.0,Noah Cameron,Connor Prielipp
823857,2026-06-07,Pre-Game,Tampa Bay Rays,Miami Marlins,home,Miami Marlins,-105.0,-105,0.5835579709249024,0.09439220711125124,0.09439220711125124,-0.09439220711125118,-105.0,-115.0,6.0,Griffin Jax,Sandy Alcantara
823941,2026-06-07,Scheduled,Los Angeles Angels,Los Angeles Dodgers,away,Los Angeles Angels,175.0,+175,0.5876189089151787,0.06545906646101829,-0.0654590664610184,0.06545906646101829,-217.0,175.0,5.0,José Soriano,Emmet Sheehan
824268,2026-06-07,Pre-Game,Seattle Mariners,Detroit Tigers,,,,,0.49617797615579146,,-0.014656260030557366,0.014656260030557478,-115.0,-105.0,6.0,Luis Castillo,Jack Flaherty
824349,2026-06-07,Scheduled,Milwaukee Brewers,Colorado Rockies,home,Colorado Rockies,154.5,+154,0.4280327818867072,0.05184408458753226,0.05184408458753226,-0.05184408458753231,154.5,-187.0,6.0,Shane Drohan,Kyle Freeland
824670,2026-06-07,Scheduled,San Francisco Giants,Chicago Cubs,away,San Francisco Giants,105.0,+105,0.4795807242181729,0.05633983510901319,-0.0563398351090133,0.05633983510901319,-129.0,105.0,6.0,Trevor McDonald,Jameson Taillon
824916,2026-06-07,Pre-Game,Pittsburgh Pirates,Atlanta Braves,,,,,0.5811215406916619,,-0.0020293197693050935,0.0020293197693052045,-157.0,129.0,6.0,Mason Montgomery,Bryce Elder
825074,2026-06-07,Scheduled,Washington Nationals,Arizona Diamondbacks,away,Washington Nationals,113.0,+113,0.46477658684677287,0.08550568279249615,-0.08550568279249621,0.08550568279249615,-135.0,113.0,6.0,Cade Cavalli,Michael Soroka
