game_id,game_date,status,away_name,home_name,bet_side,bet_team,bet_odds,bet_odds_fmt,p_home_win,bet_edge,edge_home,edge_away,home_odds,away_odds,n_books,away_probable_pitcher,home_probable_pitcher
822790,2026-07-18,Scheduled,Chicago White Sox,Toronto Blue Jays,away,Chicago White Sox,-116.0,-116,0.4358836487603331,0.052278210903894284,-0.05227821090389412,0.052278210903894284,-105.0,-116.0,7.0,Davis Martin,Shane Bieber
823116,2026-07-18,Scheduled,San Francisco Giants,Seattle Mariners,away,San Francisco Giants,117.0,+117,0.4631001260904467,0.0970118454077174,-0.09701184540771746,0.0970118454077174,-142.0,117.0,6.0,Logan Webb,Bryan Woo
823441,2026-07-18,Scheduled,New York Mets,Philadelphia Phillies,home,Philadelphia Phillies,-172.0,-172,0.667778032223768,0.06497429390601106,0.06497429390601106,-0.06497429390601095,-172.0,140.0,7.0,Sean Manaea,Jesús Luzardo
823523,2026-07-18,Scheduled,Los Angeles Dodgers,New York Yankees,,,,,0.49528741476162474,,0.0061216509479736225,-0.006121650947973567,-105.0,-115.0,7.0,Emmet Sheehan,Ryan Weathers
823763,2026-07-18,Scheduled,Miami Marlins,Milwaukee Brewers,,,,,0.5355837545551779,,-0.011185772927946536,0.01118577292794648,-135.0,110.0,7.0,Max Meyer,Shane Drohan
824008,2026-07-18,Scheduled,Detroit Tigers,Los Angeles Angels,home,Los Angeles Angels,160.0,+160,0.5170448275960214,0.15119116905943608,0.15119116905943608,-0.15119116905943597,160.0,-200.0,7.0,Tarik Skubal,Grayson Rodriguez
824088,2026-07-18,Scheduled,San Diego Padres,Kansas City Royals,home,Kansas City Royals,-105.0,-105,0.5590819394062745,0.07092007974204728,0.07092007974204728,-0.07092007974204717,-105.0,-116.0,7.0,Griffin Canning,Randy Dobnak
824169,2026-07-18,Scheduled,Baltimore Orioles,Houston Astros,,,,,0.4853545180375193,,-0.014645481962480722,0.014645481962480722,-110.0,-110.0,7.0,Trevor Rogers,Spencer Arrighetti
824331,2026-07-18,Scheduled,Cincinnati Reds,Colorado Rockies,home,Colorado Rockies,-109.0,-109,0.605209692223921,0.11051169425988971,0.11051169425988971,-0.11051169425988971,-109.0,-114.0,7.0,Rhett Lowder,Tomoyuki Sugano
824412,2026-07-18,Scheduled,Pittsburgh Pirates,Cleveland Guardians,away,Pittsburgh Pirates,101.0,+101,0.4758575323374079,0.051701522780702336,-0.05170152278070239,0.051701522780702336,-125.0,101.0,7.0,,Logan Allen
824414,2026-07-18,Postponed,Pittsburgh Pirates,Cleveland Guardians,,,,,0.5159663585203111,,-0.011592696597799157,0.011592696597799101,-125.0,101.0,7.0,Jared Jones,Gavin Williams
824414,2026-07-18,Scheduled,Pittsburgh Pirates,Cleveland Guardians,,,,,0.5159663585203111,,-0.011592696597799157,0.011592696597799101,-125.0,101.0,7.0,Jared Jones,Gavin Williams
824657,2026-07-18,Scheduled,Minnesota Twins,Chicago Cubs,away,Minnesota Twins,120.0,+120,0.48314144438822637,0.08382910259634585,-0.0838291025963458,0.08382910259634585,-147.0,120.0,7.0,Taj Bradley,Matthew Boyd
824738,2026-07-18,Scheduled,Tampa Bay Rays,Boston Red Sox,home,Boston Red Sox,-120.0,-120,0.5730557710628965,0.05497835719645683,0.05497835719645683,-0.05497835719645672,-120.0,-103.0,7.0,Ian Seymour,Patrick Sandoval
824899,2026-07-18,Scheduled,Texas Rangers,Atlanta Braves,,,,,0.5177159692476835,,0.0068817330613346606,-0.006881733061334605,-115.0,-105.0,7.0,MacKenzie Gore,Owen Murphy
825059,2026-07-18,Scheduled,St. Louis Cardinals,Arizona Diamondbacks,home,Arizona Diamondbacks,-122.0,-122,0.6211078019450177,0.0975026517304255,0.0975026517304255,-0.09750265173042533,-122.0,100.0,7.0,Dustin May,Brandon Pfaadt
