game_id,game_date,status,away_name,home_name,bet_side,bet_team,bet_odds,bet_odds_fmt,p_home_win,bet_edge,edge_home,edge_away,home_odds,away_odds,n_books,away_probable_pitcher,home_probable_pitcher
822783,2026-08-02,Pre-Game,St. Louis Cardinals,Toronto Blue Jays,,,,,0.5936392528226889,,0.04686972533956446,-0.046869725339564516,-135.0,110.00000000000001,7,Matthew Liberatore,Max Scherzer
822943,2026-08-02,Pre-Game,Chicago White Sox,Tampa Bay Rays,,,,,0.5332139192972123,,-0.046120903891955556,0.0461209038919555,-156.0,125.99999999999997,7,Anthony Kay,Griffin Jax
823107,2026-08-02,Scheduled,Minnesota Twins,Seattle Mariners,away,Minnesota Twins,117.0,+117,0.45914208737109385,0.10168276668901716,-0.1016827666890171,0.10168276668901716,-143.00000000000003,117.0,7,Taj Bradley,George Kirby
823270,2026-08-02,Scheduled,San Francisco Giants,San Diego Padres,,,,,0.5591122941219099,,-0.017906856585833686,0.017906856585833686,-154.0,125.0,7,Landen Roupp,Michael King
823592,2026-08-02,Pre-Game,Miami Marlins,New York Mets,home,New York Mets,100.99999999999997,+101,0.5390597829653524,0.0648237708010923,0.0648237708010923,-0.06482377080109236,100.99999999999997,-123.0,7,Sandy Alcantara,Robert Stock
823919,2026-08-02,Scheduled,Boston Red Sox,Los Angeles Dodgers,away,Boston Red Sox,150.0,+150,0.4809424635952745,0.1377866333946921,-0.137786633394692,0.1377866333946921,-185.0,150.0,7,Jake Bennett,Emmet Sheehan
823996,2026-08-02,Scheduled,Milwaukee Brewers,Los Angeles Angels,home,Los Angeles Angels,185.0,+185,0.4371867103653932,0.10144052216271343,0.10144052216271343,-0.10144052216271338,185.0,-227.00000000000006,7,Jacob Misiorowski,Walbert Ureña
824163,2026-08-02,Scheduled,Texas Rangers,Houston Astros,home,Houston Astros,-140.99999999999997,-141,0.6209995364153458,0.062747465149124,0.062747465149124,-0.06274746514912394,-140.99999999999997,116.00000000000001,7,Kumar Rocker,Peter Lambert
824323,2026-08-02,Scheduled,Kansas City Royals,Colorado Rockies,away,Kansas City Royals,110.00000000000001,+110,0.4372136800070063,0.1079746861846782,-0.10797468618467837,0.1079746861846782,-133.0,110.00000000000001,7,Seth Lugo,Kyle Freeland
824404,2026-08-02,Pre-Game,Arizona Diamondbacks,Cleveland Guardians,away,Arizona Diamondbacks,142.99999999999997,+143,0.5456985172365215,0.06158459593734489,-0.061584595937345,0.06158459593734489,-175.0,142.99999999999997,7,Merrill Kelly,Gavin Williams
824483,2026-08-02,Pre-Game,Pittsburgh Pirates,Cincinnati Reds,,,,,0.5697306871643281,,0.011478615898106281,-0.011478615898106226,-140.99999999999997,116.00000000000001,7,Mitch Keller,Chase Burns
824648,2026-08-02,Scheduled,New York Yankees,Chicago Cubs,home,Chicago Cubs,104.99999999999999,+105,0.5729734240103392,0.10804683347200317,0.10804683347200317,-0.10804683347200317,104.99999999999999,-128.0,7,Gerrit Cole,Colin Rea
824807,2026-08-02,Pre-Game,Philadelphia Phillies,Baltimore Orioles,home,Baltimore Orioles,114.99999999999999,+115,0.5294564778134994,0.08583355729593922,0.08583355729593922,-0.08583355729593933,114.99999999999999,-139.99999999999997,7,Zack Wheeler,Kyle Bradish
824891,2026-08-02,Pre-Game,Washington Nationals,Atlanta Braves,away,Washington Nationals,100.0,+100,0.4706058649950965,0.05299928521949587,-0.052999285219495706,0.05299928521949587,-122.0,100.0,7,Cade Cavalli,JR Ritchie
824971,2026-08-02,Scheduled,Detroit Tigers,Athletics,away,Detroit Tigers,-115.00000000000001,-115,0.4215384202778423,0.06762734353580879,-0.06762734353580885,0.06762734353580879,-105.0,-115.00000000000001,7,Keider Montero,Gage Jump
