edge_threshold,n_bets,n_wins,units_wagered,units_profit,roi,hit_rate,n_kelly_bets,kelly_units_wagered,kelly_units_profit,kelly_roi
0.02,1430,673,1430,-24.68764374436264,-0.017264086534519326,0.4706293706293706,1362,1429.9999999999998,14.96516785433204,0.010465152345686743
0.03,1230,570,1230,-26.18714803020318,-0.021290364252197706,0.4634146341463415,1230,1230.0000000000002,14.1558240028004,0.011508800002276746
0.05,866,400,866,-0.03159967788289997,-3.6489235430600426e-05,0.4618937644341801,866,866.0,15.100506482814733,0.017437074460525098
0.1,305,139,305,10.090628174096896,0.03308402680031769,0.4557377049180328,305,305.0,15.241366178667732,0.049971692389074535
