period,test_start,test_end,n_train,n_test,accuracy,roc_auc
5,2026-02-26,2026-03-12,20658,149,0.5503355704697986,0.5205678922460866
6,2026-03-12,2026-03-26,20807,163,0.6380368098159509,0.47180573663624503
7,2026-03-26,2026-04-09,20970,180,0.5944444444444444,0.532125
8,2026-04-09,2026-04-23,21150,186,0.4946236559139785,0.5168930686172066
9,2026-04-23,2026-05-07,21336,185,0.4810810810810811,0.5367251461988304
10,2026-05-07,2026-05-21,21521,189,0.5767195767195767,0.5752808988764044
11,2026-05-21,2026-06-04,21710,139,0.5035971223021583,0.5564549605645495
