game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
746380,2024-06-05T00:10:00Z,2024-06-04,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,Spencer Arrighetti,Andre Pallante,,,5,8,9,Top,2392,Minute Maid Park,[],HOU wins 2-0,Houston Astros,St. Louis Cardinals,Tayler Scott,Andre Pallante,Ryan Pressly,2024-06-04 - St. Louis Cardinals (5) @ Houston Astros (8) (Final)
746550,2024-06-05T00:40:00Z,2024-06-04,R,Final,Cincinnati Reds,Colorado Rockies,113,115,N,1,Ty Blach,Frankie Montas,,,4,1,9,Bottom,19,Coors Field,[],CIN wins 2-0,Cincinnati Reds,Colorado Rockies,Frankie Montas,Ty Blach,,2024-06-04 - Cincinnati Reds (4) @ Colorado Rockies (1) (Final)
746222,2024-06-05T01:38:00Z,2024-06-04,R,Final,San Diego Padres,Los Angeles Angels,135,108,N,1,Patrick Sandoval,Adam Mazur,,,2,4,9,Top,1,Angel Stadium,['MLBN (out-of-market only)'],LAA wins 2-0,Los Angeles Angels,San Diego Padres,Matt Moore,Yuki Matsui,Carlos Estévez,2024-06-04 - San Diego Padres (2) @ Los Angeles Angels (4) (Final)
745656,2024-06-05T01:40:00Z,2024-06-04,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Mitch Spence,George Kirby,,,4,3,9,Bottom,10,Oakland Coliseum,['MLB.tv Free Game'],SEA leads 1-0,Seattle Mariners,Oakland Athletics,George Kirby,Mitch Spence,Tayler Saucedo,2024-06-04 - Seattle Mariners (4) @ Oakland Athletics (3) (Final)
747196,2024-06-05T01:40:00Z,2024-06-04,R,Final,San Francisco Giants,Arizona Diamondbacks,137,109,N,1,Blake Walston,Kyle Harrison,,,5,8,9,Top,15,Chase Field,['MLBN (out-of-market only)'],AZ wins 2-0,Arizona Diamondbacks,San Francisco Giants,Kevin Ginkel,Kyle Harrison,Paul Sewald,2024-06-04 - San Francisco Giants (5) @ Arizona Diamondbacks (8) (Final)
746950,2024-06-05T17:35:00Z,2024-06-05,R,Final,Atlanta Braves,Boston Red Sox,144,111,N,1,Nick Pivetta,Spencer Schwellenbach,,,0,9,9,Top,3,Fenway Park,['MLBN (out-of-market only)'],Series tied 1-1,Boston Red Sox,Atlanta Braves,Nick Pivetta,Spencer Schwellenbach,,2024-06-05 - Atlanta Braves (0) @ Boston Red Sox (9) (Final)
746379,2024-06-05T18:10:00Z,2024-06-05,R,Final,St. Louis Cardinals,Houston Astros,138,117,N,1,Ronel Blanco,Miles Mikolas,,,4,2,9,Bottom,2392,Minute Maid Park,['MLBN (out-of-market only)'],HOU wins 2-1,St. Louis Cardinals,Houston Astros,Miles Mikolas,Ronel Blanco,Ryan Helsley,2024-06-05 - St. Louis Cardinals (4) @ Houston Astros (2) (Final)
746544,2024-06-05T19:10:00Z,2024-06-05,R,Final,Cincinnati Reds,Colorado Rockies,113,115,N,1,Dakota Hudson,Graham Ashcraft,,,12,7,9,Bottom,19,Coors Field,[],CIN wins 3-0,Cincinnati Reds,Colorado Rockies,Fernando Cruz,Jalen Beeks,,2024-06-05 - Cincinnati Reds (12) @ Colorado Rockies (7) (Final)
747195,2024-06-05T19:40:00Z,2024-06-05,R,Final,San Francisco Giants,Arizona Diamondbacks,137,109,N,1,Jordan Montgomery,Jordan Hicks,,,9,3,9,Bottom,15,Chase Field,['MLBN (out-of-market only)'],AZ wins 2-1,San Francisco Giants,Arizona Diamondbacks,Sean Hjelle,Jordan Montgomery,,2024-06-05 - San Francisco Giants (9) @ Arizona Diamondbacks (3) (Final)
744852,2024-06-05T20:05:00Z,2024-06-05,R,Final,New York Mets,Washington Nationals,121,120,N,1,Patrick Corbin,Luis Severino,,,9,1,9,Bottom,3309,Nationals Park,[],NYM wins 3-0,New York Mets,Washington Nationals,Luis Severino,Patrick Corbin,,2024-06-05 - New York Mets (9) @ Washington Nationals (1) (Final)
745570,2024-06-05T20:05:00Z,2024-06-05,R,Final,Milwaukee Brewers,Philadelphia Phillies,158,143,N,1,Aaron Nola,Aaron Ashby,,,0,2,9,Top,2681,Citizens Bank Park,['MLB.tv Free Game'],PHI wins 3-0,Philadelphia Phillies,Milwaukee Brewers,Aaron Nola,Aaron Ashby,José Alvarado,2024-06-05 - Milwaukee Brewers (0) @ Philadelphia Phillies (2) (Final)
745494,2024-06-05T22:40:00Z,2024-06-05,R,Final,Los Angeles Dodgers,Pittsburgh Pirates,119,134,N,1,Paul Skenes,James Paxton,,,6,10,9,Top,31,PNC Park,['MLBN (out-of-market only)'],PIT wins 2-0,Pittsburgh Pirates,Los Angeles Dodgers,Paul Skenes,James Paxton,,2024-06-05 - Los Angeles Dodgers (6) @ Pittsburgh Pirates (10) (Final)
746056,2024-06-05T22:40:00Z,2024-06-05,R,Final,Tampa Bay Rays,Miami Marlins,139,146,N,1,Braxton Garrett,Zach Eflin,,,5,3,9,Bottom,4169,loanDepot park,['MLBN (out-of-market only)'],TB wins 2-0,Tampa Bay Rays,Miami Marlins,Richard Lovelady,Braxton Garrett,Pete Fairbanks,2024-06-05 - Tampa Bay Rays (5) @ Miami Marlins (3) (Final)
745740,2024-06-05T23:05:00Z,2024-06-05,R,Final,Minnesota Twins,New York Yankees,142,147,N,1,Carlos Rodón,Chris Paddack,,,5,9,9,Top,3313,Yankee Stadium,[],NYY wins 2-0,New York Yankees,Minnesota Twins,Carlos Rodón,Chris Paddack,,2024-06-05 - Minnesota Twins (5) @ New York Yankees (9) (Final)
744927,2024-06-05T23:07:00Z,2024-06-05,R,Final,Baltimore Orioles,Toronto Blue Jays,110,141,N,1,José Berríos,Albert Suárez,,,2,3,9,Bottom,14,Rogers Centre,[],BAL leads 2-1,Toronto Blue Jays,Baltimore Orioles,Yimi García,Craig Kimbrel,,2024-06-05 - Baltimore Orioles (2) @ Toronto Blue Jays (3) (Final)
745007,2024-06-06T00:05:00Z,2024-06-05,R,Final,Detroit Tigers,Texas Rangers,116,140,N,1,José Ureña,Kenta Maeda,,,1,9,9,Top,5325,Globe Life Field,[],DET wins 2-1,Texas Rangers,Detroit Tigers,José Ureña,Joey Wentz,,2024-06-05 - Detroit Tigers (1) @ Texas Rangers (9) (Final)
746873,2024-06-06T00:05:00Z,2024-06-05,R,Final,Chicago White Sox,Chicago Cubs,145,112,N,1,Jameson Taillon,Erick Fedde,,,6,7,9,Bottom,17,Wrigley Field,[],CHC wins 2-0,Chicago Cubs,Chicago White Sox,Héctor Neris,Michael Kopech,,2024-06-05 - Chicago White Sox (6) @ Chicago Cubs (7) (Final)
746221,2024-06-06T01:38:00Z,2024-06-05,R,Final,San Diego Padres,Los Angeles Angels,135,108,N,1,José Soriano,Dylan Cease,,,2,3,9,Top,1,Angel Stadium,['FS1'],LAA wins 3-0,Los Angeles Angels,San Diego Padres,José Soriano,Dylan Cease,Matt Moore,2024-06-05 - San Diego Padres (2) @ Los Angeles Angels (3) (Final)
745654,2024-06-06T01:40:00Z,2024-06-05,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Joey Estes,Logan Gilbert,,,1,2,9,Top,10,Oakland Coliseum,[],Series tied 1-1,Oakland Athletics,Seattle Mariners,Joey Estes,Logan Gilbert,Mason Miller,2024-06-05 - Seattle Mariners (1) @ Oakland Athletics (2) (Final)
746628,2024-06-05T22:40:00Z,2024-06-05,R,Postponed,Kansas City Royals,Cleveland Guardians,118,114,N,1,Nick Sandlin,Brady Singer,,,0,0,,,5,Progressive Field,[],KC leads 1-0,,,,,,2024-06-05 - Kansas City Royals @ Cleveland Guardians (Postponed)
744923,2024-06-06T17:07:00Z,2024-06-06,R,Final,Baltimore Orioles,Toronto Blue Jays,110,141,N,1,Yusei Kikuchi,Cade Povich,,,5,6,9,Top,14,Rogers Centre,['MLBN (out-of-market only)'],Series tied 2-2,Toronto Blue Jays,Baltimore Orioles,Yusei Kikuchi,Cade Povich,Yimi García,2024-06-06 - Baltimore Orioles (5) @ Toronto Blue Jays (6) (Final)
